rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated,accepted_sets,accepted_pvals
9,shat,6,5,1,0,0.0,"6,9,10,11","1,4,5,6","[(1, 4, 5, 6)]",[]
9,sgreedy,6,5,1,0,0.0,11,6,"[(6,)]",[4.115572093127383e-17]
9,shat,6,6,0,0,0.0,"6,9,10,11","0,3,4,5","[(0, 3, 4, 5)]",[]
9,sgreedy,6,6,0,0,0.0,11,5,"[(5,)]",[4.115572093127383e-17]
10,shat,6,0,6,4,0.6666666666666666,"0,1,4,5,6,7,8,10","0,1,4,5,6,7,8,10","[(0, 4, 5), (0, 1, 4, 5), (0, 3, 4, 5), (0, 1, 2, 4, 5), (0, 2, 3, 4, 5), (0, 1, 2, 3, 4, 5), (0, 2, 4, 6, 8, 10), (1, 4, 5, 6, 8, 10), (1, 2, 4, 5, 6, 8, 10), (1, 4, 5, 6, 7, 8, 10), (0, 1, 4, 5, 6, 7, 8, 10)]","[0.7111786949748943, 0.7404805146064388, 0.2847456594768001, 0.5697423343449249, 0.3014492904517811, 0.36697353755959333, 0.04455565745624717, 0.019493409116256587, 0.018867604643952353, 0.04330882307347029, 0.01618163438714457]"
10,sgreedy,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5","[(0, 4, 5), (0, 3, 4, 5), (0, 2, 3, 4, 5), (0, 1, 2, 3, 4, 5), (0, 1, 2, 3, 4, 5, 8), (0, 1, 2, 3, 4, 5)]","[0.7111786949748943, 0.2847456594767742, 0.3014492904517811, 0.36697353755959333, 0.017519818863091688, 0.36697353755959333]"
10,shat,6,1,5,4,0.8,"1,2,4,5,6,7,8,10","0,1,3,4,5,6,7,9","[(0, 1, 3, 4), (0, 1, 2, 3, 4), (0, 3, 4, 5, 7, 9), (0, 1, 3, 4, 5, 7, 9), (0, 3, 4, 5, 6, 7, 9), (0, 1, 3, 4, 5, 6, 7, 9)]","[0.07931778210772869, 0.1270662318861564, 0.019493409116256587, 0.018867604643952353, 0.04330882307347029, 0.04139059122394323]"
10,sgreedy,6,1,5,4,0.8,"1,2,4,5","0,1,3,4","[(0, 1, 3, 4), (0, 1, 2, 3, 4), (0, 1, 3, 4)]","[0.07931778210772869, 0.1270662318861564, 0.07931778210772869]"
10,shat,6,2,4,3,0.75,"2,3,4,8","0,1,2,6","[(0, 1, 2, 6)]",[0.010188264555909345]
10,sgreedy,6,2,4,3,0.75,"2,3,4,8","0,1,2,6","[(0, 1, 2, 6)]",[0.010188264555909345]
