All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 5.21630438790070805055166
Subset: (0, 2, 6, 7), P-Value: 0.00000000000000000000000, Loss: 4.16300069617751056227917
Subset: (0, 2, 6, 8), P-Value: 0.00000000000000000000000, Loss: 3.37900783973328167064665
Subset: (0, 2, 6, 9), P-Value: 0.00000000000000000000000, Loss: 2.98432255804390944575744
Subset: (0, 2, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.46801195906083270514841
Subset: (0, 2, 7, 9), P-Value: 0.00000000000000000000000, Loss: 2.90571344727553437792267
Subset: (0, 2, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.08799554578743862265355
Subset: (0, 3, 4, 5), P-Value: 0.00000000000000000000000, Loss: 1.87814651554464573379732
Subset: (0, 3, 4, 6), P-Value: 0.00000000000000000000000, Loss: 2.77969984065405784079417
Subset: (0, 3, 4, 7), P-Value: 0.00000000000000000000000, Loss: 2.47450300014016733030076
Subset: (0, 3, 4, 8), P-Value: 0.00000000000000000000000, Loss: 1.93229362025077211484358
Subset: (0, 3, 4, 9), P-Value: 0.00000000000000000000000, Loss: 1.76553143923378774715616
Subset: (0, 3, 5, 6), P-Value: 0.00000000000000000000000, Loss: 3.94471012320745018087109
Subset: (0, 3, 5, 7), P-Value: 0.00000000000000000000000, Loss: 4.12994819290354264751386
Subset: (0, 3, 5, 8), P-Value: 0.00000000000000000000000, Loss: 3.82854061525087274731050
Subset: (0, 3, 5, 9), P-Value: 0.00000000000000000000000, Loss: 3.39312737424638655170384
Subset: (0, 3, 6, 7), P-Value: 0.00000000000000000000000, Loss: 4.76717037982205127377711
Subset: (0, 3, 6, 8), P-Value: 0.00000000000000000000000, Loss: 3.78877863580789320252507
Subset: (0, 3, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.31293855174177576117245
Subset: (0, 3, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.81332557037076425032751
Subset: (0, 3, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.15654839507246087748626
Subset: (0, 3, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.38610101095236704082936
Subset: (0, 4, 5, 6), P-Value: 0.00000000000000000000000, Loss: 1.90646050676487410768800
Subset: (0, 4, 5, 7), P-Value: 0.00000000000000000000000, Loss: 1.69558104063570591613086
Subset: (0, 4, 5, 8), P-Value: 0.00000000000000000000000, Loss: 1.69277651729780154177263
Subset: (0, 4, 5, 9), P-Value: 0.00000000000000000000000, Loss: 1.66906315838059016165573
Subset: (0, 4, 6, 7), P-Value: 0.00000000000000000000000, Loss: 2.24503996944524741863347
Subset: (0, 4, 6, 8), P-Value: 0.00000000000000000000000, Loss: 2.07119108353419711932020
Subset: (0, 4, 6, 9), P-Value: 0.00000000000000000000000, Loss: 1.95411174036845602941526
Subset: (0, 4, 7, 8), P-Value: 0.00000000000000000000000, Loss: 1.65388402314404681092697
Subset: (0, 4, 7, 9), P-Value: 0.00000000000000000000000, Loss: 1.46527807649649055576901
Subset: (0, 4, 8, 9), P-Value: 0.00000000000000000000000, Loss: 1.87385509964831609153180
Subset: (0, 5, 6, 7), P-Value: 0.00000000000000000000000, Loss: 3.91171474601973834239743
Subset: (0, 5, 6, 8), P-Value: 0.00000000000000000000000, Loss: 3.39017769851638650635550
Subset: (0, 5, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.18479673861940959511685
Subset: (0, 5, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.74522749265427234988124
Subset: (0, 5, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.20043165202873192143329
Subset: (0, 5, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.39040047144001244205924
Subset: (0, 6, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.56234082183385813991094
Subset: (0, 6, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.04417554677791901696082
Subset: (0, 6, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.27761249872444571096253
Subset: (0, 7, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.18723909259499382784497
Subset: (1, 2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 3.83856238678884675863401
Subset: (1, 2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 5.42014244737086681169558
Subset: (1, 2, 3, 6), P-Value: 0.00428902234913235320957, Loss: 6.79851790998656735354189
Subset: (1, 2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 6.27674131155280345950587
Subset: (1, 2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 5.09031627569827360701993
Subset: (1, 2, 3, 9), P-Value: 0.00000000000000000000000, Loss: 4.21824619798003652704210
Subset: (1, 2, 4, 5), P-Value: 0.00000000000000000000000, Loss: 2.20033289713817792332406
Subset: (1, 2, 4, 6), P-Value: 0.00000000000000000000000, Loss: 3.44436091329831794993765
Subset: (1, 2, 4, 7), P-Value: 0.00000000000000000000000, Loss: 2.91823691623654779547792
Subset: (1, 2, 4, 8), P-Value: 0.00000000000000000000000, Loss: 2.37118711279106442191278
Subset: (1, 2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 2.22909743738108412358656
Subset: (1, 2, 5, 6), P-Value: 0.00000000000000000000000, Loss: 4.93871832550896527891382
Subset: (1, 2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 5.60218667044158902257323
Subset: (1, 2, 5, 8), P-Value: 0.00000000000000000000000, Loss: 4.93523947308056776250851
Subset: (1, 2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 4.18365551112948264034230
Subset: (1, 2, 6, 7), P-Value: 0.00000000000000000000000, Loss: 6.52321367746415692323581
Subset: (1, 2, 6, 8), P-Value: 0.00000000000000000000000, Loss: 4.61263152625255123950865
Subset: (1, 2, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.97925036598815440314070
Subset: (1, 2, 7, 8), P-Value: 0.00000000000000000000000, Loss: 4.86587985540388157090774
Subset: (1, 2, 7, 9), P-Value: 0.00000000000000000000000, Loss: 3.85816611749703319844684
Subset: (1, 2, 8, 9), P-Value: 0.00000000000000000000000, Loss: 4.17898989198365544694980
Subset: (1, 3, 4, 5), P-Value: 0.00000000000000000000000, Loss: 2.26310786607143699100675
Subset: (1, 3, 4, 6), P-Value: 0.00000000000000000000000, Loss: 3.61242947769125910539856
Subset: (1, 3, 4, 7), P-Value: 0.00000000000000000000000, Loss: 3.07274815759328534525707
