All Tested Subsets:
Subset: (0,), P-Value: 0.00000000000000000000000, Loss: 7.11876744870180733215648
Subset: (2, 3, 4), P-Value: 0.00000000000000000000000, Loss: 7.84005823042503280362325
Subset: (2, 3, 5), P-Value: 0.00000000000000000000000, Loss: 0.63819222848213330578915
Subset: (2, 3, 6), P-Value: 0.00000000000000000000000, Loss: 5.92467159945583965452442
Subset: (2, 3, 7), P-Value: 0.00000000000000000000000, Loss: 8.53507766115839672238508
Subset: (2, 3, 8), P-Value: 0.00000000000000000000000, Loss: 3.74140118846989189194119
Subset: (2, 3, 9), P-Value: 0.00000000000000000000000, Loss: 4.93145631631869019173564
Subset: (2, 3, 10), P-Value: 0.00000000000000000000000, Loss: 1.10228120544517027568077
Subset: (2, 4, 5), P-Value: 0.00000000007665628831246, Loss: 0.29329052744469008562334
Subset: (2, 4, 6), P-Value: 0.00000000000000000000000, Loss: 5.97800172516990357962641
Subset: (2, 4, 7), P-Value: 0.00000000000000000000000, Loss: 8.46483404997853128293173
Subset: (2, 4, 8), P-Value: 0.00000000000000000000000, Loss: 3.74897112208434846181149
Subset: (2, 4, 9), P-Value: 0.00000000000000000000000, Loss: 5.18053507100564569753942
Subset: (2, 4, 10), P-Value: 0.00000000000000000000000, Loss: 0.75379535572576306101666
Subset: (2, 5, 6), P-Value: 0.00000000000000000000000, Loss: 0.64782406391414615320912
Subset: (2, 5, 7), P-Value: 0.00000000000000000000000, Loss: 0.58906333740040417445982
Subset: (2, 5, 8), P-Value: 0.00000000000000000000000, Loss: 0.61683737394765192352253
Subset: (2, 5, 9), P-Value: 0.00000000000000000000000, Loss: 0.64992038965123088978260
Subset: (2, 5, 10), P-Value: 0.00000000000000000000000, Loss: 0.60104807840828178289172
Subset: (2, 6, 7), P-Value: 0.00000000000000000000000, Loss: 6.15538498080501561560141
Subset: (2, 6, 8), P-Value: 0.00000000000000000000000, Loss: 3.06633826498815498240447
Subset: (2, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.81522839794678203517719
Subset: (2, 6, 10), P-Value: 0.00000000000000000000000, Loss: 1.08749028815525394797703
Subset: (2, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.78298660945495424101637
Subset: (2, 7, 9), P-Value: 0.00000000000000000000000, Loss: 5.18490723439863288035667
Subset: (2, 7, 10), P-Value: 0.00000000000000000000000, Loss: 0.99791051820942999750486
Subset: (2, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.04224770378456099706455
Subset: (2, 8, 10), P-Value: 0.00000000000000000000000, Loss: 1.08013522607539291797707
Subset: (2, 9, 10), P-Value: 0.00000000000000000000000, Loss: 1.12662479062610154656454
Subset: (3, 4, 5), P-Value: 0.00000000006419194179946, Loss: 0.29281174517577746030383
Subset: (3, 4, 6), P-Value: 0.00000000000000000000000, Loss: 5.67928048667170770613666
Subset: (3, 4, 7), P-Value: 0.00000000000000000000000, Loss: 7.82012461561443750213130
Subset: (3, 4, 8), P-Value: 0.00000000000000000000000, Loss: 3.61571297092487586866127
Subset: (3, 4, 9), P-Value: 0.00000000000000000000000, Loss: 4.94699172195325242995523
Subset: (3, 4, 10), P-Value: 0.00000000000000000000000, Loss: 0.74593046412871988337656
Subset: (3, 5, 6), P-Value: 0.00000000000000000000000, Loss: 0.64686472074014123023744
Subset: (3, 5, 7), P-Value: 0.00000000000000000000000, Loss: 0.59128248538684402557664
Subset: (3, 5, 8), P-Value: 0.00000000000000000000000, Loss: 0.61616052942838972494854
Subset: (3, 5, 9), P-Value: 0.00000000000000000000000, Loss: 0.64874850714126497397416
Subset: (3, 5, 10), P-Value: 0.00000000000000000000000, Loss: 0.60098969860101369988570
Subset: (3, 6, 7), P-Value: 0.00000000000000000000000, Loss: 5.85347996014080163007520
Subset: (3, 6, 8), P-Value: 0.00000000000000000000000, Loss: 2.98552971571959302465871
Subset: (3, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.69266540434088996747164
Subset: (3, 6, 10), P-Value: 0.00000000000000000000000, Loss: 1.07514924056402838559166
Subset: (3, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.64417440483844146115189
Subset: (3, 7, 9), P-Value: 0.00000000000000000000000, Loss: 4.94760771753800376870913
Subset: (3, 7, 10), P-Value: 0.00000000000000000000000, Loss: 0.99366465200127762624760
Subset: (3, 8, 9), P-Value: 0.00000000000000000000000, Loss: 2.95843073030926895228276
Subset: (3, 8, 10), P-Value: 0.00000000000000000000000, Loss: 1.06826316148935629435357
Subset: (3, 9, 10), P-Value: 0.00000000000000000000000, Loss: 1.11429378606368767457013
Subset: (4, 5, 6), P-Value: 0.00000000001393681385868, Loss: 0.29397606220615957184350
Subset: (4, 5, 7), P-Value: 0.00000000000000004153273, Loss: 0.29301425359289084981995
Subset: (4, 5, 8), P-Value: 0.00000000000000000000000, Loss: 0.28407462129489419178086
Subset: (4, 5, 9), P-Value: 0.00000000000000000000000, Loss: 0.28001385080584462183850
Subset: (4, 5, 10), P-Value: 0.00000000000000000000000, Loss: 0.18280408971740427781505
Subset: (4, 6, 7), P-Value: 0.00000000000000000000000, Loss: 5.98694584818430097783448
Subset: (4, 6, 8), P-Value: 0.00000000000000000000000, Loss: 3.06031774617552843054114
Subset: (4, 6, 9), P-Value: 0.00000000000000000000000, Loss: 3.79335480322822737875299
Subset: (4, 6, 10), P-Value: 0.00000000000000000000000, Loss: 0.68065117413819653524598
Subset: (4, 7, 8), P-Value: 0.00000000000000000000000, Loss: 3.74089220393213528481624
Subset: (4, 7, 9), P-Value: 0.00000000000000000000000, Loss: 5.21308343815956032329950
Subset: (4, 7, 10), P-Value: 0.00000000000000000000000, Loss: 0.74533596506747790133574
Subset: (4, 8, 9), P-Value: 0.00000000000000000000000, Loss: 3.06020732259084082826917
